"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Maroc","MAR","Morocco",861,7,751,1.22117870546902,36471766,73.38133,112826637548.359,228.1111,116.4444,-0.3398933,1,1816.853,0
"Moldavie","MDA","Republic of Moldova",43,23,67,-1.60950755658359,2664974,74.39091,9155458065.71175,82.77778,41.11111,-0.3932399,0,1976.854,0
"Madagascar","MDG","Madagascar",85,0,85,2.65644587984943,26969306,47.72865,13186360351.4331,595,149.5455,-0.3206965,1,8763.332,0
"Maldives","MDV","Maldives",0,11,7,2.91480812041913,530957,53.27453,5414217823.03808,980.5,180.4444,0.0320022,0,8294.178,0
"Mexique","MEX","Mexico",3515,1033,4543,1.09136688717461,127575529,72.35556,1252848919131.02,450,100,-0.8369034,0,9206.813,0
"Macédoine","MKD","North Macedonia",1,41,42,0.022971838409121,2076694,80.74807,11185489898.549,150,50,0.0043563,0,1672.04,0
"Mali","MLI","Mali",55,1,48,2.99625535273008,19658023,52.94472,16028741076.2588,545,90,-2.201104,1,4139.756,0
"Malte","MLT","Malta",4,9,11,3.93135631850717,504062,66.13941,13856372628.2222,230,0,1.024583,0,1752.693,1
"Birmanie","MMR","Myanmar",1817,1,1745,0.625695404700204,54045422,46.82775,83686992015.6706,456.6667,210,-1.328067,0,8892.726,0
"Monténégro","MNE","Montenegro",4,7,10,-0.0319870125812963,622028,73.81891,4777636043.80572,305.5556,60,0.0676736,0,1449.718,0
"Mongolie","MNG","Mongolia",0,14,10,1.71853282942005,3225166,67.77262,14174566299.8985,209.7778,82.55556,0.6343787,0,7053.423,0
"Mozambique","MOZ","Mozambique",112,24,120,2.90700114585105,30366043,54.9955,18183590595.087,399,60,-0.749242,0,8855.655,0
"Mauritanie","MRT","Mauritania",5,31,30,2.74148343597351,4525698,51.06288,7336133809.76738,580,400,-0.5687606,0,3794.96,0
"Maurice","MUS","Mauritius",51,4,53,0.0322400432027594,1265711,81.46811,13471938135.6172,372.125,165.625,0.8092755,1,9422.744,0
"Malawi","MWI","Malawi",136,0,136,2.64093709821938,18628749,60.9371,7477443338.32784,143.4615,161.5385,-0.2801754,0,7650.657,0
"Malaisie","MYS","Malaysia",1717,73,1254,1.32884901520668,31949789,81.47337,364693381129.177,212.5,60,0.1438768,0,10436.4,0
"Namibie","NAM","Namibia",11,31,29,1.87040232780685,2494524,61.35078,11240759011.0283,145,62.5,0.5296495,0,8084.97,0
"Niger","NER","Niger",19,3,26,3.79420663603704,23310719,56.75932,12212118177.9725,461.5,282,-1.410087,1,3932.638,0
"Nigéria","NGA","Nigeria",240,12,252,2.56487195537782,200963603,56.87589,502942019447.736,1076.786,564.2857,-1.920183,0,4722.149,0
"Nicaragua","NIC","Nicaragua",140,7,131,1.22975908801825,6545503,54.38673,12991624156.9782,399.7778,86.11111,-1.004794,0,8906.699,0
"Pays-Bas","NLD","Netherlands",1036,602,91,0.65507157480522,17344874,76.10376,840250428566.882,0,0,0.8475496,0,427.9169,1
"Norvège","NOR","Norway",107,3,108,0.675061373245644,5347896,82.62729,406468037614.963,125,0,1.170565,0,1342.89,1
"Népal","NPL","Nepal",63,0,63,1.80944248570395,28608715,63.1866,30605291409.0891,190,80,-0.4538026,0,7244.016,0
"Nouvelle-Zélande","NZL","New Zealand",240,1,141,1.59316723078585,4979300,86.76465,200742824665.702,366.5,80,1.411302,0,19263.88,0
"Oman","OMN","Oman",7,115,113,2.96857894027324,4974992,69.98474,83053174485.8283,243.5714,124,0.5875344,0,5620.005,0
"Pakistan","PAK","Pakistan",1523,0,1064,2.02296715968838,216565317,60.95491,322607305056.708,287,130,-2.265187,0,5932.586,0
"Panama","PAN","Panama",224,22,239,1.65193014674349,4246440,66.56045,64006593334.0646,490,50,0.3036199,0,8671.104,0
"Pérou","PER","Peru",1763,71,1317,1.6161567459337,32510462,68.69658,214942684282.182,700,80,-0.152365,0,10268.11,0
"Philippines","PHL","Philippines",1466,306,1437,1.36449622326603,108116622,62.82943,396224787543.087,689.5,67.5,-0.9151124,0,10751.64,0
"Papouasie-Nouvelle-Guinée","PNG","Papua New Guinea",7,30,34,1.95370007291066,8776119,59.77357,24719859152.6631,940,85,-0.6973711,0,14565.84,0
"Pologne","POL","Poland",2558,88,1080,-0.0244271070993493,37965475,76.38122,570115134633.24,0,0,0.5636535,0,1368.178,1
"Portugal","PRT","Portugal",350,90,334,0.0237334946497115,10286263,76.46616,222362381347.62,0,0,1.066231,0,1452.86,1
"Paraguay","PRY","Paraguay",77,1,72,1.26523860853119,7044639,59.05401,40676916123.4603,500,135,-0.0103485,0,10168.73,0
"Roumanie","ROU","Romania",507,130,462,-0.526814821936341,19371648,73.3332,217382984916.126,0,0,0.5617022,0,1875.018,1
"Russie","RUS","Russian Federation",4606,232,4573,-0.0495686654330689,144406261,78.16284,1459189098326.43,520,152.5,-0.5573844,0,2494.316,0
"Rwanda","RWA","Rwanda",19,0,21,2.60731374636986,12626938,76.48282,11182411389.0747,282.1429,121.0714,0.0642397,1,6253.41,0
"Arabie saoudite","SAU","Saudi Arabia",800,650,1433,1.66477670240957,34268529,70.87175,678581100842.581,464.4615,267,-0.6058908,0,4694.5,0
"Soudan","SDN","Sudan",75,0,56,2.39143408960219,42813237,44.82932,51312429477.3951,1092.5,420,-1.701787,0,4612.387,0
"Îles Salomon","SLB","Solomon Islands",0,4,4,2.56539282268413,669821,55.26279,1533613348.9277,740,215,0.5082222,0,15178.2,0
"Sierra Leone","SLE","Sierra Leone",20,20,32,2.10903821950532,7813207,47.45831,5076711739.04284,821,387.1429,-0.0528448,0,4724.351,0
"Salvador","SLV","El Salvador",147,19,164,0.509699113997832,6453550,65.25247,25772439479.5764,128.3333,66.66667,-0.1064181,0,8984.298,0
"Serbie","SRB","Serbia",104,17,112,-0.536610017822353,6945235,75.65345,45615675379.6018,52,35,-0.0659501,0,1449.718,0
"Sao Tomé-et-Principe","STP","Sao Tome and Principe",1,3,3,1.8851478278935,215048,44.9711,359752972.346268,406,75,0.51391,0,5432.882,0
"Suriname","SUR","Suriname",11,19,30,0.929025561206018,581363,47.46427,5252729241.66594,658,40,0.1014941,0,7196.987,0
"Slovaquie","SVK","Slovakia",71,104,81,0.135328072840865,5454147,75.58542,99088126486.0242,0,0,0.6671577,0,1094.61,1
"Slovénie","SVN","Slovenia",70,23,50,0.696304046333357,2088385,76.51751,50270105178.8664,0,0,0.8074292,0,965.7366,1
"Suède","SWE","Sweden",158,84,172,1.01372226345511,10278887,81.99155,549821281946.735,0,0,1.039473,0,1545.797,1
"Swaziland","SWZ","Eswatini",6,2,8,1.03826564467004,1148133,59.49273,4401077165.65255,134.4444,75.55556,-0.2745529,0,8846.426,0
"Seychelles","SYC","Seychelles",1,3,4,0.887925293341637,97625,61.70497,1553599342.64266,340.625,92.5,0.6827319,1,7855.244,0
"Syrie","SYR","Syrian Arab Republic",122,23,137,0.735380569237513,17070132,41.96812,16265870694.9063,827.7778,741.6667,-2.729881,0,3280.692,0
"Tchad","TCD","Chad",7,2,6,2.98613014725798,15946882,36.93568,10526057266.1328,965,500,-1.343743,1,4248.435,0
"Togo","TGO","Togo",44,25,68,2.42023592434892,8082359,62.28934,5098275352.1552,611.6667,251.6667,-0.9195643,1,4753.381,0
"Thaïlande","THA","Thailand",1775,4,760,0.283525943067606,69625581,80.09233,460750263751.601,232.5455,43.45455,-0.4836834,0,9454.805,0
"Tadjikistan","TJK","Tajikistan",16,12,36,2.3904900507883,9321023,61.26761,10943735892.3235,223.3333,260,-0.5208747,0,5291.823,0
"Timor Oriental","TLS","Timor-Leste",1,11,11,1.96367631756303,1293120,39.36487,1896767581.03646,410,115,0.2336398,0,13128.84,0
"Trinité-et-Tobago","TTO","Trinidad and Tobago",62,25,89,0.36828406936599,1394969,61.29128,22587789317.2434,635,250,0.1008337,0,7225.325,0
"Tunisie","TUN","Tunisia",223,1,203,1.11366949118351,11694721,68.65706,49199153585.8047,596.1538,144.4444,-0.8699231,1,1483.828,0
"Turquie","TUR","Turkey",2202,44,1723,1.31451369970442,83429607,76.79104,997437115405.82,46,55,-1.371728,0,2255.81,0
"Tanzanie","TZA","United Republic of Tanzania",81,6,86,2.96038624624594,58005461,54.46329,60318543760.5445,1350,375,-0.3735242,0,7168.277,0
"Ouganda","UGA","Uganda",69,0,68,3.54193220575762,44269587,59.9818,39600047203.8644,446.6875,295.625,-0.6912174,0,6128.938,0
"Ukraine","UKR","Ukraine",1410,86,1197,-0.530994160113763,44386203,70.2106,101944109453.562,100,162,-1.423576,0,2025.144,0
"Uruguay","URY","Uruguay",31,6,33,0.360034022145695,3461731,61.53994,55513344382.0673,500,285,1.038879,0,10972.42,0
"Etats-Unis d'Amérique","USA","United States of America",22858,123,19282,0.455381285963537,328329953,83.99668,19974534312000,175,100,0.1349753,0,5838.157,0
"Ouzbékistan","UZB","Uzbekistan",64,21,80,1.87647016682647,33580350,69.87898,106161435002.412,277.8947,242,-0.2848197,0,5153.064,0
"Saint-Vincent-et-les Grenadines","VCT","Saint Vincent and the Grenadines",0,8,9,0.346915924257476,110593,57.0869,798469518.407039,540,90,0.9535552,0,6989.701,0
"Viet Nam","VNM","Viet Nam",1089,203,1262,0.954289022188918,96462108,69.76594,251208952743.671,373,182.5,0.0254956,0,9208.554,0
"Vanuatu","VUT","Vanuatu",1,4,4,2.43262855812858,299882,61.05191,869804185.719708,680.625,182.5,1.021924,1,16346.35,0
"Samoa","WSM","Samoa",0,20,13,0.490819125766011,197093,62.07404,887495263.360233,900,230,1.157789,0,16011.92,0
"Afrique du Sud","ZAF","South Africa",1816,488,2186,1.31629200967216,58558267,67.01897,358712444718.331,676,73,-0.2676704,0,9353.552,0
"Zambie","ZMB","Zambia",51,23,65,2.89301773705047,17861034,66.93648,24089861649.0155,380,175,-0.1138469,0,7604.841,0
"Zimbabwe","ZWE","Zimbabwe",52,1,54,1.42114188586135,14645473,54.46935,20720841373.1335,561.6667,150,-0.9597493,0,7949.676,0
