"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Sainte-Lucie","LCA","Saint Lucia",0.00547060915232911,0.0273530457616456,0.0328236549139747,0.496319759662675,182795,63.6504,10914.5026923556,842.0545,97.5,0.9132686,0,6903.772,0
"Sri Lanka","LKA","Sri Lanka",0.00866853185341467,0,0.008622666605513,0.611875945764341,21803000,61.80614,4225.10630347397,299.6667,282.7778,-0.2176228,0,8526.015,0
"Lesotho","LSO","Lesotho",0.000941058229389531,0.00894005317920054,0.00752846583511625,0.800269955388003,2125267,59.4294,1096.21696892375,150,90,-0.4215104,0,9054.14,0
"Lituanie","LTU","Lithuania",0.0357892257967308,0.0175367206403981,0.0297050574112866,-0.264704354944785,2794137,81.61948,17241.2553476195,0,0,0.7798127,0,1700.296,1
"Luxembourg","LUX","Luxembourg",0,0.019354807492246,0.019354807492246,1.9628449198635,620001,69.6031,108570.027704794,0,0,1.349191,1,289.1023,1
"Lettonie","LVA","Latvia",0.0182880121557804,0.0250807023850703,0.0209005853208919,-0.695239140136066,1913822,80.28054,16056.035161786,0,0,0.4434652,0,1704.598,1
"Maroc","MAR","Morocco",0.0236073021525747,0.00019192928579329,0.0205912705186801,1.22117870546902,36471766,73.38133,3093.53370901642,228.1111,116.4444,-0.3398933,1,1816.853,0
"Moldavie","MDA","Republic of Moldova",0.016135241844761,0.00863047819603493,0.0251409582232322,-1.60950755658359,2664974,74.39091,3435.47744394945,82.77778,41.11111,-0.3932399,0,1976.854,0
"Madagascar","MDG","Madagascar",0.00315173108273531,0,0.00315173108273531,2.65644587984943,26969306,47.72865,488.939550444238,595,149.5455,-0.3206965,1,8763.332,0
"Maldives","MDV","Maldives",0,0.0207173085579435,0.0131837418096004,2.91480812041913,530957,53.27453,10197.0928399815,980.5,180.4444,0.0320022,0,8294.178,0
"Mexique","MEX","Mexico",0.0275523058971599,0.00809716415128484,0.0356102775791743,1.09136688717461,127575529,72.35556,9820.44855272379,450,100,-0.8369034,0,9206.813,0
"Macédoine","MKD","North Macedonia",0.000481534592963624,0.0197429183115086,0.0202244529044722,0.022971838409121,2076694,80.74807,5386.20032539651,150,50,0.0043563,0,1672.04,0
"Mali","MLI","Mali",0.00279783984381339,5.08698153420616e-05,0.00244175113641896,2.99625535273008,19658023,52.94472,815.379098715002,545,90,-2.201104,1,4139.756,0
"Malte","MLT","Malta",0.00793553174014308,0.0178549464153219,0.0218227122853935,3.93135631850717,504062,66.13941,27489.4211986268,230,0,1.024583,0,1752.693,1
"Birmanie","MMR","Myanmar",0.0336198688577175,1.85029547923597e-05,0.0322876561126676,0.625695404700204,54045422,46.82775,1548.45662997452,456.6667,210,-1.328067,0,8892.726,0
"Monténégro","MNE","Montenegro",0.00643057868777611,0.0112535127036082,0.0160764467194403,-0.0319870125812963,622028,73.81891,7680.74113031201,305.5556,60,0.0676736,0,1449.718,0
"Mongolie","MNG","Mongolia",0,0.00434086183470866,0.00310061559622047,1.71853282942005,3225166,67.77262,4394.98813391265,209.7778,82.55556,0.6343787,0,7053.423,0
"Mozambique","MOZ","Mozambique",0.00368833041565541,0.000790356517640445,0.00395178258820222,2.90700114585105,30366043,54.9955,598.813305872187,399,60,-0.749242,0,8855.655,0
"Mauritanie","MRT","Mauritania",0.00110480195541108,0.00684977212354868,0.00662881173246646,2.74148343597351,4525698,51.06288,1620.99499563766,580,400,-0.5687606,0,3794.96,0
"Maurice","MUS","Mauritius",0.0402935583241356,0.00316027908424593,0.0418736978662586,0.0322400432027594,1265711,81.46811,10643.7710785616,372.125,165.625,0.8092755,1,9422.744,0
"Malawi","MWI","Malawi",0.00730054390662518,0,0.00730054390662518,2.64093709821938,18628749,60.9371,401.392672064444,143.4615,161.5385,-0.2801754,0,7650.657,0
